"","gyrR","sas1","sas2","isok"
"770",0.806034,0.14,0.113,TRUE
"122",0.820498,0.25,0.113,TRUE
"833",0.832353,0.325,0.113,TRUE
"840",0.837194,0.363,0.113,TRUE
"328",0.845581,0.401,0.113,TRUE
"23",0.87321,0.401,0.113,TRUE
"44",0.876792,0.363,0.075,TRUE
"412",0.88066,0.363,0.113,TRUE
"399",0.885897,0.216,0.113,TRUE
"400",0.892674,0.401,0.113,TRUE
"724",0.893114,0.212,0.113,TRUE
"28",0.898811,0.291,0.075,TRUE
"768",0.903349,0.174,0.113,TRUE
"882",0.907749,0.182,0.113,TRUE
"359",0.90919,0.363,0.113,TRUE
"962",0.909217,0.325,0.113,TRUE
"858",0.914185,0.144,0.075,TRUE
"911",0.919933,0.325,0.113,TRUE
"760",0.920281,0.401,0.113,TRUE
"349",0.920806,0.363,0.113,TRUE
"465",0.927655,0.363,0.075,TRUE
"94",0.928837,0.144,0.113,TRUE
"947",0.933514,0.401,0.113,TRUE
"33",0.933704,0.363,0.075,TRUE
"391",0.937011,0.106,0.113,TRUE
"368",0.937079,0.325,0.113,TRUE
"455",0.938494,0.439,0.075,TRUE
"38",0.940119,0.325,0.113,TRUE
"517",0.941571,0.325,0.113,TRUE
"729",0.942766,0.325,0.113,TRUE
"576",0.943761,0.288,0.113,TRUE
"730",0.944234,0.325,0.113,TRUE
"788",0.945337,0.325,0.113,TRUE
"960",0.946489,0.363,0.113,TRUE
"522",0.949898,0.288,0.075,TRUE
"108",0.950763,0.25,0.113,TRUE
"346",0.951008,0.212,0.113,TRUE
"46",0.955231,0.25,0.113,TRUE
"278",0.956009,0.363,0.113,TRUE
"362",0.957052,0.325,0.113,TRUE
"326",0.957765,0.288,0.113,TRUE
"32",0.959614,0.288,0.075,TRUE
"233",0.959674,0.401,0.113,TRUE
"425",0.959758,0.174,0.113,TRUE
"546",0.961151,0.363,0.113,TRUE
"649",0.96223,0.363,0.113,TRUE
"267",0.962864,0.439,0.113,TRUE
"553",0.963038,0.401,0.113,TRUE
"276",0.963997,0.363,0.113,TRUE
"314",0.96453,0.072,0.075,TRUE
"559",0.965373,0.144,0.113,TRUE
"536",0.967608,0.288,0.113,TRUE
"685",0.967757,0.401,0.075,TRUE
"601",0.969153,0.325,0.038,TRUE
"27",0.969176,0.216,0.113,TRUE
"230",0.970149,0.25,0.113,TRUE
"83",0.970684,0.137,0.113,TRUE
"64",0.972314,0.363,0.113,TRUE
"329",0.972503,0.325,0.113,TRUE
"421",0.972849,0.288,0.113,TRUE
"719",0.972945,0.325,0.113,TRUE
"758",0.97399,0.363,0.113,TRUE
"450",0.974148,0.288,0.113,TRUE
"358",0.97653,0.325,0.113,TRUE
"799",0.978769,0.325,0.113,TRUE
"519",0.979165,0.212,0.113,TRUE
"351",0.982028,0.325,0.075,TRUE
"838",0.982299,0.14,0.113,TRUE
"981",0.983092,0.401,0.075,TRUE
"743",0.983921,0.288,0.113,TRUE
"826",0.986233,0.401,0.113,TRUE
"241",0.986603,0.363,0.113,TRUE
"446",0.987456,0.212,0.113,TRUE
"774",0.989547,0.401,0.113,TRUE
"829",0.990724,0.25,0.113,TRUE
"41",0.991247,0.401,0.113,TRUE
"498",0.992775,0.288,0.113,TRUE
"954",0.994153,0.295,0.113,TRUE
"713",0.995524,0.325,0.075,TRUE
"991",0.996137,0.137,0.113,TRUE
"989",0.996305,0.325,0.113,TRUE
"727",0.997177,0.325,0.075,TRUE
"18",0.997378,0.363,0.113,TRUE
"614",0.998274,0.325,0.113,TRUE
"998",1.00033,0.182,0.113,TRUE
"673",1.00162,0.363,0.113,TRUE
"594",1.00168,0.212,0.113,TRUE
"805",1.00216,0.295,0.113,TRUE
"950",1.00226,0.325,0.113,TRUE
"128",1.00279,0.253,0.113,TRUE
"503",1.00325,0.325,0.113,TRUE
"820",1.00728,0.363,0.113,TRUE
"610",1.00775,0.212,0.113,TRUE
"762",1.00785,0.325,0.113,TRUE
"34",1.00893,0.363,0.113,TRUE
"7",1.00927,0.25,0.113,TRUE
"608",1.00958,0.401,0.113,TRUE
"141",1.00969,0.291,0.075,TRUE
"777",1.01073,0.212,0.113,TRUE
"179",1.01079,0.288,0.113,TRUE
"404",1.0122,0.325,0.113,TRUE
"529",1.01591,0.25,0.113,TRUE
"84",1.01672,0.103,0.113,TRUE
"493",1.01836,0.174,0.113,TRUE
"732",1.01979,0.363,0.113,TRUE
"982",1.02009,0.325,0.113,TRUE
"198",1.02029,0.325,0.113,TRUE
"676",1.02041,0.363,0.113,TRUE
"353",1.02073,0.363,0.075,TRUE
"731",1.02079,0.401,0.113,TRUE
"318",1.02081,0.25,0.113,TRUE
"976",1.02201,0.288,0.113,TRUE
"514",1.02221,0.25,0.113,TRUE
"60",1.02263,0.25,0.113,TRUE
"360",1.0232,0.325,0.113,TRUE
"865",1.02548,0.325,0.075,TRUE
"755",1.0263,0.401,0.075,TRUE
"236",1.02659,0.325,0.113,TRUE
"545",1.02749,0.288,0.075,TRUE
"589",1.0289,0.401,0.075,TRUE
"255",1.0297,0.288,0.075,TRUE
"457",1.02985,0.288,0.113,TRUE
"792",1.03148,0.325,0.113,TRUE
"886",1.03264,0.257,0.113,TRUE
"117",1.03266,0.363,0.113,TRUE
"780",1.03286,0.325,0.113,TRUE
"620",1.03446,0.25,0.113,TRUE
"114",1.03492,0.325,0.113,TRUE
"202",1.03507,0.401,0.113,TRUE
"647",1.03517,0.325,0.113,TRUE
"515",1.0357,0.25,0.113,TRUE
"505",1.03584,0.325,0.075,TRUE
"196",1.03683,0.137,0.113,TRUE
"252",1.03688,0.291,0.113,TRUE
"734",1.03724,0.363,0.113,TRUE
"150",1.03751,0.144,0.113,TRUE
"322",1.03791,0.401,0.113,TRUE
"139",1.03909,0.401,0.113,TRUE
"856",1.03929,0.363,0.113,TRUE
"723",1.03939,0.325,0.113,TRUE
"286",1.04047,0.401,0.113,TRUE
"917",1.04058,0.288,0.075,TRUE
"891",1.04099,0.401,0.113,TRUE
"115",1.04227,0.325,0.113,TRUE
"147",1.04229,0.363,0.113,TRUE
"485",1.04294,0.288,0.113,TRUE
"583",1.04392,0.363,0.113,TRUE
"626",1.04396,0.174,0.075,TRUE
"974",1.04422,0.363,0.075,TRUE
"220",1.04603,0.401,0.113,TRUE
"879",1.04746,0.106,0.075,TRUE
"431",1.04781,0.216,0.113,TRUE
"52",1.04867,0.288,0.075,TRUE
"206",1.04908,0.325,0.113,TRUE
"698",1.04971,0.325,0.075,TRUE
"507",1.05004,0.182,0.113,TRUE
"168",1.0528,0.253,0.113,TRUE
"706",1.05315,0.325,0.113,TRUE
"29",1.05342,0.257,0.113,TRUE
"787",1.05496,0.401,0.113,TRUE
"299",1.05538,0.288,0.075,TRUE
"877",1.0556,0.178,0.113,TRUE
"234",1.05759,0.257,0.113,TRUE
"427",1.05784,0.439,0.113,TRUE
"607",1.0589,0.288,0.113,TRUE
"496",1.06057,0.401,0.113,TRUE
"984",1.0606,0.363,0.113,TRUE
"127",1.06089,0.219,0.113,TRUE
"279",1.06098,0.363,0.113,TRUE
"274",1.06118,0.103,0.113,TRUE
"642",1.06119,0.325,0.113,TRUE
"39",1.06137,0.174,0.113,TRUE
"295",1.06217,0.363,0.113,TRUE
"812",1.06237,0.325,0.113,TRUE
"149",1.06349,0.363,0.113,TRUE
"223",1.06378,0.363,0.113,TRUE
"40",1.06439,0.325,0.113,TRUE
"784",1.06449,0.325,0.113,TRUE
"843",1.0645,0.325,0.113,TRUE
"373",1.06535,0.401,0.113,TRUE
"511",1.06582,0.401,0.113,TRUE
"397",1.0666,0.288,0.113,TRUE
"604",1.06734,0.14,0.113,TRUE
"379",1.06768,0.174,0.113,TRUE
"631",1.06795,0.363,0.075,TRUE
"552",1.06844,0.363,0.113,TRUE
"4",1.06915,0.325,0.075,TRUE
"452",1.07037,0.363,0.075,TRUE
"795",1.07119,0.325,0.075,TRUE
"863",1.07125,0.151,0.113,TRUE
"884",1.07188,0.325,0.113,TRUE
"817",1.07218,0.325,0.113,TRUE
"77",1.07222,0.14,0.113,TRUE
"852",1.07262,0.174,0.113,TRUE
"849",1.07265,0.325,0.113,TRUE
"430",1.07355,0.363,0.075,TRUE
"135",1.07359,0.439,0.113,TRUE
"281",1.07367,0.178,0.113,TRUE
"261",1.07384,0.363,0.113,TRUE
"78",1.07387,0.325,0.113,TRUE
"971",1.07389,0.363,0.113,TRUE
"557",1.07398,0.291,0.113,TRUE
"137",1.07449,0.14,0.113,TRUE
"320",1.07549,0.253,0.113,TRUE
"779",1.07604,0.325,0.113,TRUE
"103",1.07641,0.288,0.075,TRUE
"761",1.07652,0.106,0.075,TRUE
"104",1.07743,0.182,0.113,TRUE
"793",1.07755,0.25,0.113,TRUE
"25",1.07815,0.25,0.075,TRUE
"869",1.0787,0.363,0.113,TRUE
"15",1.08087,0.219,0.113,TRUE
"738",1.08166,0.288,0.113,TRUE
"682",1.08177,0.216,0.075,TRUE
"961",1.08199,0.401,0.113,TRUE
"794",1.08252,0.325,0.075,TRUE
"708",1.08271,0.137,0.113,TRUE
"835",1.08282,0.401,0.113,TRUE
"79",1.08334,0.25,0.075,TRUE
"129",1.08341,0.363,0.113,TRUE
"162",1.08373,0.363,0.113,TRUE
"488",1.08459,0.363,0.113,TRUE
"744",1.08459,0.325,0.113,TRUE
"742",1.08494,0.363,0.113,TRUE
"432",1.08531,0.325,0.075,TRUE
"501",1.08532,0.363,0.113,TRUE
"216",1.08541,0.325,0.113,TRUE
"56",1.08544,0.212,0.113,TRUE
"782",1.08547,0.291,0.113,TRUE
"568",1.08583,0.363,0.113,TRUE
"781",1.08719,0.25,0.113,TRUE
"822",1.08786,0.401,0.075,TRUE
"386",1.08818,0.144,0.113,TRUE
"293",1.08909,0.11,0.113,TRUE
"571",1.08934,0.25,0.113,TRUE
"82",1.08948,0.325,0.113,TRUE
"807",1.0896,0.174,0.113,TRUE
"63",1.09078,0.253,0.075,TRUE
"666",1.09127,0.325,0.113,TRUE
"367",1.09142,0.253,0.113,TRUE
"591",1.0915,0.325,0.113,TRUE
"908",1.09165,0.325,0.075,TRUE
"683",1.09237,0.174,0.075,TRUE
"193",1.09382,0.288,0.075,TRUE
"883",1.09395,0.288,0.113,TRUE
"330",1.09462,0.363,0.113,TRUE
"736",1.09464,0.401,0.113,TRUE
"6",1.09515,0.476,0.113,TRUE
"593",1.09607,0.253,0.075,TRUE
"191",1.09633,0.476,0.113,TRUE
"74",1.09636,0.401,0.113,TRUE
"429",1.09642,0.401,0.113,TRUE
"936",1.09659,0.137,0.113,TRUE
"870",1.09678,0.288,0.113,TRUE
"219",1.09746,0.363,0.113,TRUE
"819",1.09828,0.212,0.113,TRUE
"327",1.09838,0.106,0.113,TRUE
"671",1.0992,0.325,0.075,TRUE
"837",1.10083,0.325,0.113,TRUE
"366",1.10084,0.325,0.113,TRUE
"142",1.10133,0.288,0.113,TRUE
"525",1.10262,0.151,0.113,TRUE
"338",1.10275,0.325,0.113,TRUE
"846",1.10279,0.25,0.113,TRUE
"750",1.1028,0.363,0.113,TRUE
"357",1.10297,0.401,0.075,TRUE
"752",1.10431,0.363,0.075,TRUE
"720",1.10572,0.106,0.113,TRUE
"678",1.10581,0.25,0.113,TRUE
"375",1.10606,0.363,0.075,TRUE
"242",1.10772,0.363,0.113,TRUE
"709",1.10845,0.325,0.113,TRUE
"20",1.11006,0.325,0.113,TRUE
"310",1.11011,0.363,0.113,TRUE
"396",1.11105,0.325,0.075,TRUE
"445",1.11117,0.325,0.075,TRUE
"825",1.11122,0.401,0.075,TRUE
"623",1.11151,0.363,0.075,TRUE
"549",1.11188,0.363,0.113,TRUE
"415",1.11209,0.291,0.113,TRUE
"231",1.11267,0.363,0.113,TRUE
"172",1.11295,0.291,0.113,TRUE
"436",1.11338,0.288,0.113,TRUE
"912",1.11351,0.291,0.113,TRUE
"512",1.11399,0.325,0.113,TRUE
"629",1.1142,0.11,0.075,TRUE
"144",1.11431,0.363,0.075,TRUE
"717",1.11524,0.288,0.113,TRUE
"384",1.11551,0.401,0.113,TRUE
"681",1.11551,0.363,0.113,TRUE
"97",1.11593,0.401,0.113,TRUE
"187",1.11657,0.25,0.113,TRUE
"467",1.11663,0.151,0.113,TRUE
"581",1.11666,0.401,0.075,TRUE
"951",1.11689,0.288,0.113,TRUE
"644",1.1169,0.219,0.113,TRUE
"11",1.11756,0.182,0.038,TRUE
"662",1.11842,0.174,0.113,TRUE
"382",1.11872,0.212,0.113,TRUE
"495",1.11891,0.363,0.113,TRUE
"133",1.11894,0.363,0.113,TRUE
"197",1.11896,0.363,0.113,TRUE
"100",1.11907,0.401,0.075,TRUE
"915",1.11924,0.288,0.113,TRUE
"785",1.11958,0.401,0.113,TRUE
"71",1.12092,0.178,0.075,TRUE
"157",1.12155,0.363,0.113,TRUE
"398",1.12224,0.325,0.113,TRUE
"839",1.1224,0.363,0.113,TRUE
"726",1.12258,0.401,0.113,TRUE
"442",1.12267,0.103,0.075,TRUE
"618",1.12315,0.401,0.113,TRUE
"966",1.12407,0.401,0.113,TRUE
"182",1.12426,0.219,0.075,TRUE
"930",1.12459,0.363,0.113,TRUE
"290",1.1248,0.401,0.113,TRUE
"627",1.12589,0.25,0.075,TRUE
"451",1.12594,0.25,0.113,TRUE
"348",1.12625,0.189,0.113,TRUE
"890",1.12691,0.291,0.113,TRUE
"24",1.12758,0.325,0.113,TRUE
"186",1.12786,0,0.113,TRUE
"602",1.1279,0.288,0.038,TRUE
"31",1.12918,0.212,0.113,TRUE
"979",1.12936,0.216,0.113,TRUE
"480",1.12947,0.212,0.113,TRUE
"889",1.12959,0.14,0.113,TRUE
"434",1.13009,0.325,0.113,TRUE
"994",1.13013,0.25,0.113,TRUE
"565",1.13163,0.253,0.113,TRUE
"544",1.13177,0.325,0.075,TRUE
"625",1.13213,0.295,0.075,TRUE
"919",1.13227,0.325,0.113,TRUE
"746",1.13282,0.174,0.075,TRUE
"342",1.13318,0.257,0.075,TRUE
"668",1.13405,0.325,0.075,TRUE
"5",1.13459,0.363,0.113,TRUE
"334",1.13484,0.288,0.113,TRUE
"183",1.13539,0.363,0.113,TRUE
"516",1.13671,0.325,0.075,TRUE
"3",1.13683,0.219,0.113,TRUE
"211",1.1371,0.257,0.113,TRUE
"66",1.1378,0.401,0.113,TRUE
"691",1.13781,0.212,0.113,TRUE
"420",1.13782,0.401,0.113,TRUE
"145",1.13785,0.106,0.075,TRUE
"483",1.13824,0.106,0.113,TRUE
"474",1.13827,0.182,0.113,TRUE
"693",1.1384,0.325,0.113,TRUE
"648",1.13859,0.325,0.075,TRUE
"657",1.13911,0.401,0.075,TRUE
"101",1.13916,0.325,0.113,TRUE
"85",1.13967,0.363,0.113,TRUE
"341",1.13977,0.363,0.113,TRUE
"612",1.14009,0.291,0.075,TRUE
"181",1.14062,0.401,0.113,TRUE
"712",1.14066,0.401,0.113,TRUE
"170",1.14096,0.288,0.113,TRUE
"646",1.14103,0.288,0.113,TRUE
"438",1.1412,0.144,0.113,TRUE
"937",1.14151,0.212,0.113,TRUE
"586",1.14214,0.363,0.113,TRUE
"975",1.14254,0.25,0.113,TRUE
"401",1.1433,0.439,0.113,TRUE
"444",1.14356,0.25,0.113,TRUE
"857",1.14365,0.401,0.075,TRUE
"728",1.1437,0.219,0.113,TRUE
"920",1.14402,0.401,0.113,TRUE
"173",1.14427,0.147,0.113,TRUE
"816",1.14448,0.257,0.113,TRUE
"215",1.1445,0.325,0.113,TRUE
"933",1.14477,0.329,0.113,TRUE
"965",1.14478,0.363,0.113,TRUE
"316",1.145,0.253,0.113,TRUE
"251",1.1451,0.401,0.075,TRUE
"243",1.14587,0.325,0.075,TRUE
"238",1.14693,0.325,0.113,TRUE
"306",1.14731,0.291,0.113,TRUE
"580",1.14733,0.401,0.113,TRUE
"237",1.14794,0.072,0.113,TRUE
"192",1.14804,0.178,0.113,TRUE
"672",1.14816,0.363,0.113,TRUE
"645",1.14961,0.174,0.113,TRUE
"640",1.14983,0.329,0.113,TRUE
"217",1.15,0.075,0.113,TRUE
"572",1.1501,0.288,0.113,TRUE
"881",1.1501,0.401,0.113,TRUE
"887",1.15208,0.363,0.113,TRUE
"714",1.15217,0.212,0.113,TRUE
"487",1.15254,0.291,0.113,TRUE
"756",1.15273,0.216,0.113,TRUE
"268",1.15281,0.401,0.075,TRUE
"423",1.15316,0.325,0.075,TRUE
"689",1.15354,0.11,0.113,TRUE
"441",1.15422,0.363,0.113,TRUE
"177",1.15442,0.363,0.113,TRUE
"69",1.15446,0.401,0.075,TRUE
"910",1.15464,0.174,0.075,TRUE
"705",1.15513,0.291,0.113,TRUE
"437",1.15569,0.288,0.075,TRUE
"374",1.15602,0.25,0.075,TRUE
"392",1.15614,0.253,0.075,TRUE
"123",1.15631,0.401,0.113,TRUE
"312",1.15656,0.25,0.113,TRUE
"922",1.15656,0.288,0.113,TRUE
"874",1.1568,0.401,0.075,TRUE
"245",1.15713,0.288,0.113,TRUE
"764",1.15729,0.439,0.113,TRUE
"958",1.15744,0.325,0.113,TRUE
"134",1.1578,0.439,0.075,TRUE
"528",1.15846,0.401,0.113,TRUE
"547",1.15911,0.325,0.075,TRUE
"454",1.15933,0.14,0.113,TRUE
"932",1.1597,0.363,0.113,TRUE
"935",1.15978,0.325,0.113,TRUE
"798",1.15987,0.329,0.113,TRUE
"754",1.15989,0.363,0.113,TRUE
"337",1.1599,0.288,0.113,TRUE
"490",1.16029,0.325,0.113,TRUE
"853",1.16075,0.174,0.113,TRUE
"294",1.16201,0.11,0.075,TRUE
"403",1.16246,0.325,0.113,TRUE
"997",1.16248,0.223,0.113,TRUE
"240",1.16293,0.401,0.113,TRUE
"986",1.16314,0.476,0.113,TRUE
"377",1.16338,0.363,0.113,TRUE
"136",1.16351,0.14,0.113,TRUE
"153",1.16398,0.325,0.075,TRUE
"619",1.164,0.401,0.113,TRUE
"964",1.16438,0,0.113,TRUE
"176",1.16471,0.363,0.038,TRUE
"745",1.16473,0.25,0.075,TRUE
"893",1.16478,0.144,0.038,TRUE
"957",1.16479,0.253,0.113,TRUE
"941",1.16493,0.439,0.113,TRUE
"88",1.16538,0.363,0.113,TRUE
"796",1.16539,0.189,0.075,TRUE
"967",1.16599,0.401,0.113,TRUE
"848",1.16637,0.144,0.113,TRUE
"699",1.16705,0.113,0.113,TRUE
"832",1.16735,0.325,0.113,TRUE
"959",1.16737,0.288,0.113,TRUE
"254",1.16798,0.075,0.113,TRUE
"953",1.16881,0.363,0.038,TRUE
"660",1.16883,0.034,0.113,TRUE
"68",1.16914,0.068,0.113,TRUE
"112",1.16915,0.476,0.113,TRUE
"165",1.16993,0.288,0.075,TRUE
"988",1.17062,0.288,0.113,TRUE
"250",1.1714,0.363,0.113,TRUE
"80",1.17142,0.212,0.075,TRUE
"16",1.17216,0.106,0.075,TRUE
"42",1.17261,0.174,0.113,TRUE
"786",1.17296,0.439,0.113,TRUE
"561",1.17307,0.174,0.113,TRUE
"296",1.17345,0.401,0.075,TRUE
"91",1.17365,0.333,0.113,TRUE
"927",1.17385,0.106,0.113,TRUE
"622",1.17409,0.144,0.113,TRUE
"509",1.17488,0.325,0.075,TRUE
"978",1.17549,0.401,0.113,TRUE
"466",1.17739,0.401,0.113,TRUE
"411",1.17769,0.325,0.113,TRUE
"753",1.17801,0.325,0.113,TRUE
"389",1.17803,0.288,0.113,TRUE
"776",1.17826,0.25,0.113,TRUE
"59",1.17852,0.288,0.113,TRUE
"239",1.17884,0.325,0.075,TRUE
"845",1.17899,0.363,0.113,TRUE
"232",1.17938,0.072,0.075,TRUE
"862",1.17941,0.325,0.113,TRUE
"527",1.18031,0.325,0.113,TRUE
"592",1.18038,0.363,0.075,TRUE
"506",1.18117,0.325,0.113,TRUE
"414",1.18134,0.137,0.113,TRUE
"163",1.18163,0.257,0.113,TRUE
"859",1.18199,0.14,0.075,TRUE
"842",1.18254,0.325,0.113,TRUE
"663",1.18256,0.212,0.113,TRUE
"111",1.18263,0.325,0.113,TRUE
"868",1.1829,0.212,0.113,TRUE
"73",1.18312,0.363,0.113,TRUE
"494",1.18388,0.288,0.075,TRUE
"118",1.18437,0.439,0.113,TRUE
"885",1.1845,0.253,0.113,TRUE
"409",1.18488,0.288,0.075,TRUE
"419",1.18654,0.363,0.113,TRUE
"156",1.18697,0.325,0.113,TRUE
"188",1.18861,0.325,0.113,TRUE
"354",1.18871,0.212,0.113,TRUE
"158",1.18959,0.325,0.075,TRUE
"275",1.18967,0.325,0.075,TRUE
"718",1.18976,0.257,0.113,TRUE
"818",1.19068,0.325,0.113,TRUE
"725",1.1912,0.25,0.113,TRUE
"92",1.19127,0.363,0.113,TRUE
"229",1.19145,0.257,0.113,TRUE
"923",1.19177,0.325,0.075,TRUE
"677",1.19223,0.363,0.113,TRUE
"131",1.1924,0.253,0.075,TRUE
"9",1.19295,0.363,0.075,TRUE
"45",1.19353,0.288,0.113,TRUE
"418",1.19368,0.182,0.075,TRUE
"972",1.19393,0.291,0.113,TRUE
"569",1.19522,0.212,0.113,TRUE
"711",1.19546,0.325,0.113,TRUE
"661",1.19555,0.325,0.113,TRUE
"17",1.19558,0.401,0.113,TRUE
"633",1.19563,0.401,0.113,TRUE
"43",1.19584,0.178,0.113,TRUE
"844",1.19593,0.288,0.075,TRUE
"479",1.19594,0.147,0.113,TRUE
"205",1.19718,0.363,0.113,TRUE
"413",1.19756,0.295,0.113,TRUE
"200",1.19774,0.363,0.075,TRUE
"319",1.19788,0.325,0.113,TRUE
"272",1.19855,0.182,0.113,TRUE
"460",1.19971,0.174,0.075,TRUE
"394",1.19975,0.401,0.113,TRUE
"259",1.20007,0.363,0.075,TRUE
"8",1.20013,0.401,0.113,TRUE
"748",1.20104,0.325,0.113,TRUE
