#DDG, density
-5.00000 0.00008
-4.89933 0.00012
-4.79866 0.00018
-4.69799 0.00026
-4.59732 0.00036
-4.49664 0.00049
-4.39597 0.00065
-4.29530 0.00082
-4.19463 0.00103
-4.09396 0.00125
-3.99329 0.00150
-3.89262 0.00176
-3.79195 0.00204
-3.69128 0.00234
-3.59060 0.00268
-3.48993 0.00305
-3.38926 0.00347
-3.28859 0.00395
-3.18792 0.00453
-3.08725 0.00521
-2.98658 0.00604
-2.88591 0.00705
-2.78523 0.00828
-2.68456 0.00977
-2.58389 0.01158
-2.48322 0.01376
-2.38255 0.01636
-2.28188 0.01942
-2.18121 0.02298
-2.08054 0.02707
-1.97987 0.03172
-1.87919 0.03696
-1.77852 0.04284
-1.67785 0.04945
-1.57718 0.05689
-1.47651 0.06535
-1.37584 0.07505
-1.27517 0.08624
-1.17450 0.09917
-1.07383 0.11402
-0.97315 0.13090
-0.87248 0.14974
-0.77181 0.17025
-0.67114 0.19196
-0.57047 0.21416
-0.46980 0.23600
-0.36913 0.25652
-0.26846 0.27476
-0.16779 0.28990
-0.06711 0.30125
0.03356 0.30842
0.13423 0.31128
0.23490 0.30997
0.33557 0.30487
0.43624 0.29655
0.53691 0.28567
0.63758 0.27290
0.73826 0.25893
0.83893 0.24435
0.93960 0.22968
1.04027 0.21535
1.14094 0.20169
1.24161 0.18892
1.34228 0.17718
1.44295 0.16653
1.54362 0.15697
1.64430 0.14842
1.74497 0.14080
1.84564 0.13399
1.94631 0.12786
2.04698 0.12228
2.14765 0.11714
2.24832 0.11234
2.34899 0.10780
2.44966 0.10346
2.55034 0.09927
2.65101 0.09517
2.75168 0.09112
2.85235 0.08706
2.95302 0.08294
3.05369 0.07871
3.15436 0.07433
3.25503 0.06981
3.35570 0.06515
3.45638 0.06042
3.55705 0.05570
3.65772 0.05111
3.75839 0.04676
3.85906 0.04276
3.95973 0.03918
4.06040 0.03609
4.16107 0.03350
4.26174 0.03141
4.36242 0.02977
4.46309 0.02851
4.56376 0.02755
4.66443 0.02679
4.76510 0.02614
4.86577 0.02551
4.96644 0.02481
5.06711 0.02400
5.16779 0.02303
5.26846 0.02191
5.36913 0.02062
5.46980 0.01922
5.57047 0.01776
5.67114 0.01628
5.77181 0.01486
5.87248 0.01356
5.97315 0.01242
6.07383 0.01149
6.17450 0.01077
6.27517 0.01024
6.37584 0.00990
6.47651 0.00968
6.57718 0.00955
6.67785 0.00946
6.77852 0.00935
6.87919 0.00921
6.97987 0.00901
7.08054 0.00875
7.18121 0.00846
7.28188 0.00813
7.38255 0.00781
7.48322 0.00749
7.58389 0.00720
7.68456 0.00693
7.78523 0.00668
7.88591 0.00643
7.98658 0.00618
8.08725 0.00591
8.18792 0.00564
8.28859 0.00535
8.38926 0.00505
8.48993 0.00475
8.59060 0.00446
8.69128 0.00419
8.79195 0.00393
8.89262 0.00370
8.99329 0.00348
9.09396 0.00327
9.19463 0.00307
9.29530 0.00288
9.39597 0.00270
9.49664 0.00252
9.59732 0.00236
9.69799 0.00221
9.79866 0.00208
9.89933 0.00197
10.00000 0.00187
