#DDG, density
-5.00000 0.00000
-4.89933 0.00000
-4.79866 0.00000
-4.69799 0.00000
-4.59732 0.00000
-4.49664 0.00000
-4.39597 0.00000
-4.29530 0.00000
-4.19463 0.00000
-4.09396 0.00000
-3.99329 0.00000
-3.89262 0.00000
-3.79195 0.00000
-3.69128 0.00000
-3.59060 0.00000
-3.48993 0.00000
-3.38926 0.00000
-3.28859 0.00000
-3.18792 0.00000
-3.08725 0.00000
-2.98658 0.00001
-2.88591 0.00001
-2.78523 0.00003
-2.68456 0.00005
-2.58389 0.00011
-2.48322 0.00020
-2.38255 0.00037
-2.28188 0.00065
-2.18121 0.00110
-2.08054 0.00180
-1.97987 0.00284
-1.87919 0.00435
-1.77852 0.00648
-1.67785 0.00941
-1.57718 0.01334
-1.47651 0.01852
-1.37584 0.02521
-1.27517 0.03372
-1.17450 0.04439
-1.07383 0.05753
-0.97315 0.07346
-0.87248 0.09239
-0.77181 0.11440
-0.67114 0.13932
-0.57047 0.16673
-0.46980 0.19589
-0.36913 0.22575
-0.26846 0.25501
-0.16779 0.28223
-0.06711 0.30598
0.03356 0.32494
0.13423 0.33811
0.23490 0.34491
0.33557 0.34518
0.43624 0.33926
0.53691 0.32788
0.63758 0.31208
0.73826 0.29307
0.83893 0.27215
0.93960 0.25050
1.04027 0.22918
1.14094 0.20900
1.24161 0.19050
1.34228 0.17399
1.44295 0.15959
1.54362 0.14723
1.64430 0.13680
1.74497 0.12809
1.84564 0.12095
1.94631 0.11521
2.04698 0.11073
2.14765 0.10734
2.24832 0.10489
2.34899 0.10318
2.44966 0.10199
2.55034 0.10110
2.65101 0.10027
2.75168 0.09931
2.85235 0.09808
2.95302 0.09649
3.05369 0.09450
3.15436 0.09213
3.25503 0.08942
3.35570 0.08645
3.45638 0.08332
3.55705 0.08016
3.65772 0.07705
3.75839 0.07411
3.85906 0.07137
3.95973 0.06888
4.06040 0.06659
4.16107 0.06444
4.26174 0.06234
4.36242 0.06019
4.46309 0.05788
4.56376 0.05537
4.66443 0.05263
4.76510 0.04971
4.86577 0.04668
4.96644 0.04367
5.06711 0.04079
5.16779 0.03815
5.26846 0.03578
5.36913 0.03372
5.46980 0.03191
5.57047 0.03027
5.67114 0.02873
5.77181 0.02720
5.87248 0.02561
5.97315 0.02395
6.07383 0.02222
6.17450 0.02047
6.27517 0.01875
6.37584 0.01714
6.47651 0.01568
6.57718 0.01440
6.67785 0.01331
6.77852 0.01241
6.87919 0.01166
6.97987 0.01103
7.08054 0.01047
7.18121 0.00997
7.28188 0.00948
7.38255 0.00898
7.48322 0.00848
7.58389 0.00797
7.68456 0.00745
7.78523 0.00693
7.88591 0.00642
7.98658 0.00594
8.08725 0.00551
8.18792 0.00512
8.28859 0.00478
8.38926 0.00449
8.48993 0.00425
8.59060 0.00403
8.69128 0.00384
8.79195 0.00367
8.89262 0.00352
8.99329 0.00338
9.09396 0.00326
9.19463 0.00317
9.29530 0.00311
9.39597 0.00308
9.49664 0.00308
9.59732 0.00312
9.69799 0.00317
9.79866 0.00324
9.89933 0.00332
10.00000 0.00340
