#DDG, density
-5.00000 0.00000
-4.89933 0.00000
-4.79866 0.00000
-4.69799 0.00000
-4.59732 0.00000
-4.49664 0.00000
-4.39597 0.00000
-4.29530 0.00000
-4.19463 0.00000
-4.09396 0.00000
-3.99329 0.00000
-3.89262 0.00000
-3.79195 0.00000
-3.69128 0.00000
-3.59060 0.00000
-3.48993 0.00000
-3.38926 0.00000
-3.28859 0.00000
-3.18792 0.00000
-3.08725 0.00000
-2.98658 0.00001
-2.88591 0.00001
-2.78523 0.00003
-2.68456 0.00006
-2.58389 0.00011
-2.48322 0.00022
-2.38255 0.00039
-2.28188 0.00069
-2.18121 0.00114
-2.08054 0.00184
-1.97987 0.00285
-1.87919 0.00429
-1.77852 0.00631
-1.67785 0.00907
-1.57718 0.01279
-1.47651 0.01775
-1.37584 0.02423
-1.27517 0.03258
-1.17450 0.04313
-1.07383 0.05625
-0.97315 0.07227
-0.87248 0.09146
-0.77181 0.11398
-0.67114 0.13982
-0.57047 0.16866
-0.46980 0.19985
-0.36913 0.23235
-0.26846 0.26476
-0.16779 0.29545
-0.06711 0.32265
0.03356 0.34473
0.13423 0.36031
0.23490 0.36847
0.33557 0.36888
0.43624 0.36185
0.53691 0.34832
0.63758 0.32974
0.73826 0.30787
0.83893 0.28449
0.93960 0.26115
1.04027 0.23899
1.14094 0.21868
1.24161 0.20045
1.34228 0.18425
1.44295 0.16989
1.54362 0.15716
1.64430 0.14591
1.74497 0.13603
1.84564 0.12742
1.94631 0.12003
2.04698 0.11373
2.14765 0.10844
2.24832 0.10401
2.34899 0.10031
2.44966 0.09718
2.55034 0.09444
2.65101 0.09194
2.75168 0.08959
2.85235 0.08731
2.95302 0.08510
3.05369 0.08300
3.15436 0.08104
3.25503 0.07922
3.35570 0.07753
3.45638 0.07589
3.55705 0.07426
3.65772 0.07257
3.75839 0.07080
3.85906 0.06894
3.95973 0.06696
4.06040 0.06486
4.16107 0.06259
4.26174 0.06012
4.36242 0.05742
4.46309 0.05452
4.56376 0.05146
4.66443 0.04833
4.76510 0.04520
4.86577 0.04215
4.96644 0.03923
5.06711 0.03645
5.16779 0.03378
5.26846 0.03119
5.36913 0.02865
5.46980 0.02615
5.57047 0.02370
5.67114 0.02136
5.77181 0.01917
5.87248 0.01722
5.97315 0.01556
6.07383 0.01425
6.17450 0.01329
6.27517 0.01265
6.37584 0.01228
6.47651 0.01208
6.57718 0.01195
6.67785 0.01178
6.77852 0.01150
6.87919 0.01108
6.97987 0.01052
7.08054 0.00987
7.18121 0.00919
7.28188 0.00855
7.38255 0.00797
7.48322 0.00749
7.58389 0.00711
7.68456 0.00682
7.78523 0.00659
7.88591 0.00639
7.98658 0.00620
8.08725 0.00599
8.18792 0.00573
8.28859 0.00541
8.38926 0.00503
8.48993 0.00461
8.59060 0.00417
8.69128 0.00374
8.79195 0.00334
8.89262 0.00298
8.99329 0.00266
9.09396 0.00239
9.19463 0.00215
9.29530 0.00192
9.39597 0.00171
9.49664 0.00149
9.59732 0.00127
9.69799 0.00106
9.79866 0.00084
9.89933 0.00065
10.00000 0.00048
